iter	Passed	Remaining
0	130	129945
1	130	65217
2	131	43628
3	132	32910
4	133	26499
5	134	22232
6	135	19180
7	135	16825
8	136	14991
9	136	13527
10	137	12326
11	137	11325
12	138	10482
13	138	9765
14	139	9158
15	140	8620
16	140	8143
17	141	7726
18	142	7348
19	143	7010
20	143	6702
21	144	6414
22	144	6150
23	145	5907
24	145	5684
25	146	5477
26	146	5286
27	147	5108
28	147	4941
29	148	4786
30	148	4642
31	148	4506
32	149	4379
33	149	4258
34	150	4145
35	151	4044
36	151	3942
37	151	3846
38	152	3754
39	152	3667
40	153	3584
41	153	3505
42	154	3431
43	154	3360
44	155	3292
45	155	3226
46	156	3163
47	156	3103
48	156	3045
49	157	2992
50	157	2939
51	158	2888
52	158	2838
53	159	2791
54	159	2745
55	160	2702
56	160	2660
57	161	2621
58	161	2582
59	162	2543
60	162	2506
61	163	2470
62	163	2436
63	164	2403
64	164	2370
65	165	2338
66	165	2307
67	166	2278
68	166	2248
69	167	2219
70	167	2191
71	167	2164
72	168	2139
73	169	2115
74	169	2090
75	169	2066
76	170	2042
77	170	2019
78	171	1996
79	171	1975
80	172	1951
81	172	1930
82	172	1910
83	173	1890
84	173	1869
85	174	1850
86	174	1835
87	175	1817
88	175	1800
89	176	1784
90	176	1767
91	177	1751
92	177	1734
93	178	1718
94	178	1702
95	179	1687
96	179	1671
97	180	1656
98	180	1642
99	180	1628
100	181	1614
101	181	1600
102	182	1587
103	182	1575
104	183	1562
105	183	1550
106	184	1537
107	184	1525
108	185	1513
109	185	1502
110	186	1490
111	186	1479
112	187	1468
113	187	1456
114	187	1445
115	188	1435
116	188	1425
117	189	1416
118	190	1407
119	190	1397
120	191	1387
121	191	1378
122	191	1368
123	192	1359
124	192	1350
125	193	1340
126	193	1331
127	194	1323
128	194	1314
129	195	1307
130	195	1299
131	196	1291
132	196	1283
133	197	1275
134	197	1268
135	198	1260
136	198	1252
137	199	1244
138	199	1237
139	200	1229
140	200	1222
141	201	1215
142	201	1208
143	202	1201
144	202	1194
145	203	1187
146	203	1180
147	203	1173
148	204	1167
149	204	1160
150	205	1154
151	205	1147
152	206	1141
153	206	1134
154	207	1128
155	207	1122
156	207	1116
157	208	1110
158	208	1104
159	209	1098
160	209	1092
161	210	1087
162	210	1081
163	211	1076
164	211	1070
165	211	1064
166	212	1059
167	212	1053
168	213	1048
169	213	1043
170	214	1038
171	214	1033
172	215	1028
173	215	1023
174	215	1018
175	216	1013
176	216	1008
177	217	1003
178	217	998
179	218	993
180	218	989
181	219	984
182	219	980
183	220	975
184	220	971
185	221	967
186	221	963
187	222	959
188	222	955
189	223	951
190	223	946
191	224	942
192	224	938
193	224	934
194	225	930
195	225	926
196	226	922
197	226	918
198	227	914
199	227	910
200	228	907
201	228	903
202	229	899
203	229	895
204	229	891
205	230	888
206	230	884
207	231	880
208	231	877
209	232	873
210	232	869
211	233	866
212	233	863
213	233	859
214	234	856
215	234	852
216	235	849
217	235	846
218	236	842
219	236	839
220	237	837
221	237	833
222	238	830
223	238	827
224	239	824
225	239	820
226	240	817
227	240	814
228	241	811
229	241	808
230	241	805
231	242	802
232	242	799
233	243	796
234	243	793
235	244	790
236	244	787
237	245	784
238	245	781
239	245	778
240	246	776
241	246	773
242	247	770
243	247	767
244	248	764
245	248	762
246	249	759
247	249	756
248	250	754
249	250	751
250	251	749
251	251	747
252	252	744
253	252	742
254	253	740
255	253	737
256	254	735
257	254	733
258	255	730
259	255	728
260	256	725
261	256	723
262	257	720
263	257	718
264	258	716
265	258	713
266	259	711
267	259	709
268	260	707
269	260	704
270	261	702
271	261	700
272	262	697
273	262	695
274	262	693
275	263	691
276	263	688
277	264	686
278	264	684
279	265	682
280	265	680
281	266	677
282	266	675
283	267	673
284	267	671
285	268	669
286	268	666
287	268	664
288	269	662
289	269	660
290	270	658
291	270	656
292	271	654
293	271	652
294	272	650
295	272	648
296	273	646
297	273	644
298	274	642
299	274	640
300	274	638
301	275	636
302	275	634
303	276	632
304	276	630
305	277	628
306	277	626
307	278	625
308	278	623
309	279	621
310	279	619
311	280	617
312	280	615
313	280	613
314	281	611
315	281	610
316	282	608
317	282	606
318	283	604
319	283	603
320	284	601
321	284	599
322	285	597
323	285	595
324	286	594
325	286	592
326	286	590
327	287	588
328	287	586
329	288	584
330	288	583
331	289	581
332	289	579
333	290	578
334	290	576
335	290	575
336	291	573
337	292	571
338	292	570
339	292	568
340	293	566
341	293	565
342	294	563
343	294	562
344	295	560
345	295	558
346	296	557
347	296	555
348	297	554
349	297	552
350	298	551
351	298	549
352	298	547
353	299	546
354	299	544
355	300	543
356	300	541
357	301	540
358	301	538
359	302	537
360	302	536
361	303	534
362	303	532
363	304	531
364	304	529
365	305	528
366	305	526
367	305	525
368	306	523
369	306	522
370	307	520
371	307	519
372	308	518
373	308	516
374	309	515
375	309	513
376	310	512
377	310	511
378	311	509
379	311	508
380	312	506
381	312	505
382	312	504
383	313	502
384	313	501
385	314	499
386	314	498
387	315	497
388	315	495
389	316	494
390	316	493
391	317	491
392	317	490
393	317	489
394	318	487
395	318	486
396	319	485
397	319	483
398	320	482
399	320	481
400	321	479
401	321	478
402	322	477
403	322	475
404	322	474
405	323	473
406	323	471
407	324	470
408	324	469
409	325	467
410	325	466
411	326	465
412	326	464
413	326	462
414	327	461
415	327	460
416	328	458
417	328	457
418	329	456
419	329	455
420	330	453
421	330	452
422	331	451
423	331	450
424	332	449
425	332	447
426	332	446
427	333	445
428	333	444
429	334	443
430	334	441
431	335	440
432	335	439
433	336	438
434	336	437
435	337	436
436	337	434
437	338	433
438	338	432
439	338	431
440	339	430
441	339	428
442	340	427
443	340	426
444	341	425
445	341	424
446	342	423
447	342	422
448	343	420
449	343	419
450	343	418
451	344	417
452	344	416
453	345	415
454	345	414
455	346	412
456	346	411
457	347	410
458	347	409
459	348	408
460	348	407
461	349	406
462	349	405
463	350	404
464	350	403
465	351	402
466	351	401
467	352	400
468	352	399
469	353	398
470	353	397
471	354	396
472	354	395
473	355	394
474	355	392
475	355	391
476	356	390
477	356	389
478	357	388
479	357	387
480	358	386
481	358	385
482	359	384
483	359	383
484	360	382
485	360	381
486	361	380
487	361	379
488	361	378
489	362	377
490	362	376
491	363	375
492	363	374
493	364	373
494	364	372
495	365	371
496	365	370
497	366	369
498	366	368
499	366	366
500	367	365
501	367	364
502	368	363
503	368	362
504	369	361
505	369	360
506	370	359
507	370	358
508	371	357
509	371	356
510	372	356
511	372	355
512	373	354
513	373	353
514	374	352
515	374	351
516	375	350
517	375	349
518	376	348
519	376	347
520	377	346
521	377	345
522	377	344
523	378	343
524	378	342
525	379	341
526	379	340
527	380	339
528	380	339
529	381	338
530	381	337
531	382	336
532	382	335
533	383	334
534	383	333
535	384	332
536	384	331
537	385	330
538	385	329
539	386	329
540	386	328
541	387	327
542	387	326
543	388	325
544	388	324
545	388	323
546	389	322
547	389	321
548	390	320
549	390	319
550	391	318
551	391	317
552	392	316
553	392	315
554	392	315
555	393	314
556	393	313
557	394	312
558	394	311
559	395	310
560	395	309
561	396	308
562	396	307
563	397	306
564	397	306
565	398	305
566	398	304
567	399	303
568	399	302
569	400	302
570	400	301
571	401	300
572	401	299
573	402	298
574	402	297
575	403	296
576	403	295
577	403	294
578	404	294
579	404	293
580	405	292
581	405	291
582	406	290
583	406	289
584	407	288
585	407	287
586	408	287
587	408	286
588	408	285
589	409	284
590	409	283
591	410	282
592	410	281
593	411	281
594	411	280
595	412	279
596	412	278
597	413	277
598	413	276
599	413	275
600	414	275
601	414	274
602	415	273
603	415	272
604	416	271
605	416	270
606	417	270
607	417	269
608	418	268
609	418	267
610	419	266
611	419	265
612	419	265
613	420	264
614	420	263
615	421	262
